country_id,country_name,door_type,usage_scenario,installation_environment,installed_doors,customer_type
CN,China,ECOline Pedestrian,intensive,Retail/Hospital,1200,B2B
CN,China,ROLLfast Industrial 300,moderate,Standard Dock,2000,B2B
CN,China,ROLLfast Industrial 300,intensive,High Speed Door,1400,B2B
CN,China,ECOline Home,low,Domestic,1700,B2C
CN,China,ECOline Home,moderate,Community,800,B2C
JP,Japan,ECOline Pedestrian,low,Office,500,B2B
JP,Japan,ECOline Pedestrian,intensive,Retail/Hospital,600,B2B
JP,Japan,ROLLfast Industrial 300,moderate,Standard Dock,700,B2B
JP,Japan,ROLLfast Industrial 300,intensive,High Speed Door,400,B2B
JP,Japan,ECOline Home,low,Domestic,600,B2C
JP,Japan,ECOline Home,moderate,Community,200,B2C
AU,Australia,ECOline Pedestrian,low,Office,200,B2B
AU,Australia,ECOline Pedestrian,intensive,Retail/Hospital,250,B2B
AU,Australia,ROLLfast Industrial 300,moderate,Standard Dock,300,B2B
AU,Australia,ROLLfast Industrial 300,intensive,High Speed Door,200,B2B
AU,Australia,ECOline Home,low,Domestic,350,B2C
AU,Australia,ECOline Home,moderate,Community,200,B2C
US,United States,ECOline Pedestrian,low,Office,1200,B2B
US,United States,ECOline Pedestrian,intensive,Retail/Hospital,1400,B2B
US,United States,ROLLfast Industrial 300,moderate,Standard Dock,2100,B2B
US,United States,ROLLfast Industrial 300,intensive,High Speed Door,1500,B2B
US,United States,ECOline Home,low,Domestic,2000,B2C
US,United States,ECOline Home,moderate,Community,800,B2C
CA,Canada,ECOline Pedestrian,low,Office,250,B2B
CA,Canada,ECOline Pedestrian,intensive,Retail/Hospital,300,B2B
CA,Canada,ROLLfast Industrial 300,moderate,Standard Dock,400,B2B
CA,Canada,ROLLfast Industrial 300,intensive,High Speed Door,250,B2B
CA,Canada,ECOline Home,low,Domestic,400,B2C
CA,Canada,ECOline Home,moderate,Community,200,B2C
MX,Mexico,ECOline Pedestrian,low,Office,400,B2B
MX,Mexico,ECOline Pedestrian,intensive,Retail/Hospital,500,B2B
MX,Mexico,ROLLfast Industrial 300,moderate,Standard Dock,700,B2B
MX,Mexico,ROLLfast Industrial 300,intensive,High Speed Door,500,B2B
MX,Mexico,ECOline Home,low,Domestic,900,B2C
MX,Mexico,ECOline Home,moderate,Community,500,B2C
BR,Brazil,ECOline Pedestrian,low,Office,500,B2B
BR,Brazil,ECOline Pedestrian,intensive,Retail/Hospital,600,B2B
BR,Brazil,ROLLfast Industrial 300,moderate,Standard Dock,900,B2B
BR,Brazil,ROLLfast Industrial 300,intensive,High Speed Door,700,B2B
BR,Brazil,ECOline Home,low,Domestic,900,B2C
BR,Brazil,ECOline Home,moderate,Community,400,B2C
CL,Chile,ECOline Pedestrian,low,Office,150,B2B
CL,Chile,ECOline Pedestrian,intensive,Retail/Hospital,200,B2B
CL,Chile,ROLLfast Industrial 300,moderate,Standard Dock,250,B2B
CL,Chile,ROLLfast Industrial 300,intensive,High Speed Door,200,B2B
CL,Chile,ECOline Home,low,Domestic,250,B2C
CL,Chile,ECOline Home,moderate,Community,150,B2C
ZA,South Africa,ECOline Pedestrian,low,Office,120,B2B
ZA,South Africa,ECOline Pedestrian,intensive,Retail/Hospital,150,B2B
ZA,South Africa,ROLLfast Industrial 300,moderate,Standard Dock,220,B2B
ZA,South Africa,ROLLfast Industrial 300,intensive,High Speed Door,160,B2B
ZA,South Africa,ECOline Home,low,Domestic,220,B2C
ZA,South Africa,ECOline Home,moderate,Community,130,B2C
